datetime,totalFare,avgFare,totalTip,avgTip,avgTipPct
2013-02-05,5564883.920000001,11.530164326398516,653313.0399999807,1.3536323157983758,11.73992215097239
2013-11-04,5705643.32,12.726635305349046,674297.1799999946,1.5040432456063921,11.818074530463193
2013-07-21,5283812.41,12.746452408981696,548553.029999993,1.323306837590326,10.38176580534571
2013-04-07,6035899.6899999995,13.088373337091928,621233.3899999846,1.3470957032731987,10.292308055238486
2013-09-08,1.185851034E7,12.81704593748041,1259459.1999999855,1.3612625835752437,10.620720173862795
2013-04-24,6111518.829999999,12.209582699864747,712020.6699999954,1.4224737739011517,11.650470035449363
2013-09-05,1.1354629040000001E7,12.146846359571237,1293614.979999989,1.3838710498726856,11.392842297558573
2013-03-18,5505686.0600000005,12.019547745824248,627314.1599999756,1.3694991715076716,11.393932620996111
2013-05-30,6469263.16,12.677148864707462,734342.3399999691,1.4390150673414914,11.351251631568642
2013-12-26,3881332.75,12.057760294505972,345378.1799999966,1.0729529194302385,8.898442938189122
2013-03-30,5878325.530000001,11.650930516493341,549111.6599999857,1.0883476533930827,9.341293829298795
2013-02-17,5821716.359999999,11.500618045115752,576252.9999999919,1.1383697247579396,9.898335205049252
2013-02-15,6574196.13,12.239510676206274,710729.9899999686,1.3232016703621823,10.810903355266472
2013-08-10,5446122.8100000005,12.237460727984416,535200.269999994,1.202597244723459,9.82717960412637
2013-02-18,4824330.82,11.850364575145418,516527.38999999245,1.268784855958164,10.706715796906986
2013-01-09,5262568.159999999,11.503635560801799,591758.7399999863,1.2935465495004836,11.244676021450074
2013-03-27,5821145.740000002,11.95668043536756,649079.1599999735,1.3332138448360664,11.150367796838106
2013-10-04,6591391.170000001,12.652952602713958,750139.1599999898,1.4399805734666375,11.380589327093292
2013-09-04,1.1247910360000001E7,12.388030344748593,1266908.6599999892,1.3953261025192454,11.263502459135788
2013-03-22,6661639.23,12.150799238299527,742587.4599999669,1.3544761029243515,11.147218190018478
2013-06-01,6373761.390000001,11.942905360080648,635832.7999999746,1.1913986876177651,9.975786056214046
2013-07-11,6222673.92,12.570474341596249,723203.2399999921,1.4609487639968084,11.62206551874073
2013-12-05,6453661.63,12.953463496976228,787081.4999999772,1.5797902127377261,12.195890412679992
2013-10-30,6014881.630000001,12.486053602863029,725482.999999996,1.5060013119436613,12.06146761694454
2013-02-25,5359929.07,11.859430850416524,613205.6999999852,1.3567848568994372,11.440556246017358
2013-08-02,2932385.6100000003,12.386157416989446,328634.679999983,1.3881260586194673,11.207075866123315
2013-09-02,8628293.360000001,12.98401485556753,870531.6799999902,1.3099921147514193,10.089268452967737
2013-07-18,6408460.3100000005,12.473500212158843,747439.009999987,1.454823810839929,11.663316519783313
2013-02-02,6351694.529999999,11.147685024141023,655887.1799999791,1.1511296173765861,10.326176375487302
2013-03-08,6409818.25,11.748502069334624,722590.269999972,1.3244296407898515,11.273178767587863
2013-04-28,5990474.5600000005,12.802894977559308,616494.7699999902,1.3175780508655488,10.291250948906296
2013-03-16,6855089.230000001,11.94149913945678,687011.7399999731,1.1967678066250909,10.021922646803723
2013-11-05,5767453.28,12.336587352515894,696113.239999998,1.4889867980868734,12.06968147299839
2013-04-21,6022959.890000001,12.461536960713726,628751.2899999934,1.3008898585627724,10.439240863016828
2013-12-29,5063282.8,12.433380398936235,469985.83999999723,1.1540956651351861,9.282235627842025
2013-04-03,6214227.650000001,12.0931368027338,694290.0500000045,1.3511163459592508,11.172587956284548
2013-12-06,6916726.48,13.03203493936859,814649.7399999636,1.5349087325811186,11.777966677669802
2013-09-14,1.2431955520000001E7,11.996043298614932,1257910.2799999705,1.213803102848656,10.118362135195046
2013-12-13,7102797.57,13.066076478184568,855904.6399999701,1.5744944684200874,12.05024684379355
2013-05-10,6837856.25,12.702427128555797,748238.2599999686,1.3899739369991855,10.942585404599118
2013-02-26,5780399.68,11.639669762309408,674417.5199999858,1.3580370993854072,11.667316402591489
2013-09-28,1.31159932E7,12.465754513088289,1340738.659999981,1.2742701789268012,10.22216647687787
2013-09-03,1.0767544660000002E7,12.746910400867511,1206628.8799999873,1.4284398817119883,11.206165547494344
2013-08-04,2590988.3100000005,12.807083767899602,268666.72999999026,1.3280018684289392,10.369276038917759
2013-07-14,5487447.82,12.591781062699061,570850.1499999925,1.3099022248941992,10.402835138029474
2013-06-15,6030210.07,12.167494087974173,598513.5199999806,1.2076543987085968,9.925251575853983
2013-12-18,6377378.1,13.057962079485657,792809.7999999619,1.6233129261450108,12.431594733264472
2013-12-20,6780890.620000001,13.029575210934185,796689.0999999648,1.5308491361833831,11.749033344530849
2013-09-20,1.3526767339999996E7,12.928859312245873,1546373.1199999982,1.4780205802459443,11.431948825106344
2013-05-07,6035359.16,12.296857529976263,687686.9799999703,1.401140941921884,11.394300848865644
2013-05-14,6027604.580000002,12.292528719457858,689320.2899999773,1.4057805798750218,11.436056908696175
2013-04-01,5206177.17,12.135724272487389,554237.1699999927,1.2919401812604143,10.645760831838782
2013-03-17,6103832.93,12.362593886586703,630990.0699999802,1.2779959856926608,10.337603883269791
2013-02-07,6461855.690000001,12.075864905018644,764763.2799999939,1.4291835807925433,11.835041150539741
2013-05-02,6569131.35,12.556879193347987,748966.7499999676,1.4316481888559067,11.401305744936394
2013-03-23,6496426.67,11.740558417008234,655154.9499999771,1.1840178229344718,10.084851000095673
2013-05-26,4771432.4799999995,12.408930915748629,431978.4799999906,1.123434343434319,9.0534337813786
2013-02-23,6581447.590000002,11.253954416120056,681300.369999979,1.1649904071735515,10.351831579349836
