id,latitude,longitude
503,40.54120655848522,-74.19031930358352
595,40.565394785847175,-74.10105586592164
484,40.59728186856711,-73.84377830562143
414,40.58906525116494,-73.81024805800114
502,40.593224173201506,-74.14196266621214
313,40.58062629757737,-73.9821464821223
315,40.59441271056696,-73.94984150076576
356,40.60923815704082,-73.87402725502925
318,40.62398371893771,-73.91404755784072
311,40.60725367286997,-73.99360920666018
501,40.62666148068731,-74.1203736587983
310,40.62334001823158,-74.02351321786682
312,40.6311900406501,-73.9832845528456
314,40.63193006134971,-73.95913496932516
483,40.64701315789453,-73.78611105263157
317,40.64813498920096,-73.93377321814252
307,40.65193889427719,-74.00110960232793
413,40.699528481012614,-73.73739585730709
305,40.66850130208356,-73.87968554687504
410,40.66944719764036,-73.83268908554572
355,40.662810810810825,-73.96904633204642
316,40.668150390625016,-73.91092382812492
309,40.662823266219334,-73.94698434004474
306,40.67633451536671,-73.99453664302602
308,40.67437444933905,-73.94661233480177
412,40.69164358683339,-73.77844570563754
303,40.687688691232104,-73.94058068614994
302,40.69351913265325,-73.97866326530614
304,40.694528469751056,-73.91676868327406
409,40.69484615384617,-73.83907504690441
101,40.707110588235295,-74.01275999999994
405,40.71077617675325,-73.89053794428435
482,40.70254430379753,-73.85190717299578
301,40.71688863287266,-73.94716589861754
406,40.7221399026762,-73.85135523114357
408,40.72619717624193,-73.79734371957161
103,40.719583153347685,-73.98550971922252
481,40.741902542372955,-73.8415211864407
102,40.729840970350395,-74.0014582210243
402,40.74047532656075,-73.92301959361384
106,40.7446295336787,-73.97466321243535
411,40.75670042520286,-73.75912678778501
404,40.74081776416505,-73.87145329249618
105,40.75233100233105,-73.98406293706294
104,40.75557755102043,-73.99747551020407
407,40.77144758684276,-73.81604734091606
403,40.758228432563364,-73.87710328068046
401,40.77017166372681,-73.91333392122273
108,40.77156021897787,-73.95573357664229
164,40.782471204188546,-73.96556544502602
480,40.774476635514084,-73.87464797507786
107,40.787153700189585,-73.97615180265652
111,40.79489923664098,-73.93495419847329
202,40.81325487012982,-73.88787824675319
201,40.81089368770738,-73.9165033222591
110,40.813638461538424,-73.9448076923076
109,40.81814043583525,-73.9550508474577
209,40.82477433628353,-73.86163539823008
210,40.83871699164342,-73.8216389972144
204,40.83384881602929,-73.92080692167583
203,40.832526905829624,-73.89866143497748
112,40.85518613607192,-73.93144030808722
206,40.84966046511637,-73.8874651162789
211,40.85613527054127,-73.85274849699407
227,40.85682679738558,-73.87551307189544
205,40.85272031662264,-73.90963060686029
228,40.86862749445671,-73.80714966740574
207,40.87105992509381,-73.89135205992501
212,40.8863407022106,-73.85152860858263
208,40.890522925764124,-73.90635807860265
226,40.897122244488806,-73.88661322645285
