datetime,totalFare,avgFare,totalTip,avgTip
2013-07-21,5283812.41,12.746452408981696,548553.029999993,1.323306837590326
2013-02-05,5564883.92,11.530164326398515,653313.0399999807,1.3536323157983758
2013-04-07,6035899.6899999995,13.088373337091928,621233.3899999845,1.3470957032731983
2013-09-08,1.185851034E7,12.81704593748041,1259459.1999999855,1.3612625835752437
2013-04-24,6111518.829999999,12.209582699864747,712020.6699999954,1.4224737739011517
2013-11-04,5705643.32,12.726635305349046,674297.1799999947,1.5040432456063926
2013-06-13,6487049.96,12.480016083263594,754544.9399999779,1.4516202349002547
2013-02-03,5515296.9,11.66954824458395,593280.6699999899,1.2552936907429175
2013-08-25,5253849.860000001,13.109781613841774,527711.3999999854,1.3167831958438394
2013-10-25,6733742.610000001,12.681271734975022,779624.029999991,1.4682212772528591
2013-10-28,5460567.429999999,12.634353146691344,637193.8399999867,1.4743031929661885
2013-05-22,6451669.450000001,12.828752532774452,734677.99999997,1.460862545162366
2013-01-11,6081319.33,11.663488026421275,672448.1499999808,1.289702204457978
2013-09-15,1.1936495999999998E7,12.896094383042165,1265411.0599999793,1.3671399431713602
2013-09-27,1.303172532E7,12.973345266301642,1500426.6199999894,1.4937049477351811
2013-08-29,5876193.02,12.901864780778697,657199.3899999928,1.442957648758473
2013-10-16,6037192.87,12.648501209918187,722391.7399999842,1.5134803532332244
2013-03-28,6371162.050000001,12.438209868710041,705177.8999999837,1.3766955927570574
2013-11-19,5820411.19,12.241178750646718,719184.4700000001,1.5125504650057418
2013-01-22,5668792.75,11.428902430419049,658672.3999999933,1.3279551617423075
2013-07-17,6089354.720000001,12.26428965320003,707233.3599999831,1.4244062266495265
2013-02-06,5883329.170000001,11.616962165534918,698703.8999999814,1.3796298892471244
2013-10-31,6194976.4,12.657869260773534,720742.7899999962,1.4726558129366087
2013-07-29,5188373.920000002,12.67900080643191,574281.7499999811,1.4033912905353758
2013-09-12,1.3122604639999999E7,13.030712058563012,1565914.679999977,1.5549491783939429
2013-05-25,5414077.920000001,11.939482909187142,501679.04999999015,1.1063358399858645
2013-04-29,5614703.940000001,12.229433081979643,629135.599999977,1.3703254529375646
2013-08-09,6036132.2700000005,12.336235303013892,657912.3099999942,1.344596291444314
2013-04-19,6743566.8,12.39489541594677,749644.4299999925,1.3778708782119482
2013-12-30,5012724.300000001,12.35558915961105,477997.24999999825,1.1781892015134106
2013-10-20,6161693.190000001,13.003083564060578,664928.1799999785,1.4032046747589573
2013-11-24,5915826.880000001,11.876260996302113,651437.2199999806,1.3077864860415334
2013-11-09,6590117.25,12.091913882884834,698489.7899999933,1.281627938980028
2013-06-27,6431769.85,12.739280755510748,747121.0199999606,1.4798079928377814
2013-11-29,4184724.2600000002,11.194849387921073,372209.02999999956,0.9957224831999304
2013-03-01,6768294.760000002,11.99006320727309,754666.7799999884,1.3368954387307321
2013-12-31,5246420.77,11.22020237945024,527563.3699999942,1.1282678303716618
2013-10-03,6361957.94,12.805693035726147,754075.0699999933,1.5178430859468433
2013-12-25,2978244.04,12.12033077896656,258567.48000000106,1.052272192672241
2013-06-23,5563222.450000001,12.740165182701734,567739.2999999798,1.3001623659163937
2013-09-10,1.2160227520000003E7,12.578201144015644,1428101.6599999664,1.4771886384558544
2013-10-06,6002853.95,13.115516691392228,647776.1599999908,1.4153133008951253
2013-11-22,6648638.430000001,12.675009922847716,791984.5099999863,1.5098447040970329
2013-05-12,5881089.790000001,12.751906013317637,592739.5599999819,1.2852310421016404
2013-12-11,6451998.969999999,13.293141360177843,809809.6399999755,1.6684618316599646
2013-11-07,6639126.269999999,13.065185494948379,815419.1399999941,1.6046693325251677
2013-10-24,6601962.88,12.845860251353765,794120.1399999929,1.5451702056866754
2013-07-09,5612330.78,12.235990660033053,632915.8199999912,1.379881615264853
2013-09-13,1.3583871979999999E7,12.979544393059165,1564119.05999996,1.4945335766701957
2013-08-15,6074071.370000001,12.826836302434412,691187.4499999934,1.459605548797986
2013-06-21,6427833.670000001,12.712901456641912,687113.6199999943,1.3589660512445128
2013-05-31,6640488.96,12.63396719215534,725558.1899999699,1.3804221983766736
2013-11-10,6074999.51,12.839451908587321,665422.149999992,1.4063631906093235
2013-01-23,5909504.709999999,11.353079055559823,683883.0399999894,1.3138458464612108
2013-04-09,5743439.220000001,12.036690383329738,651732.8699999917,1.3658552773591968
2013-02-19,5417057.0600000005,11.86954172263209,614698.8999999835,1.3468926318464611
2013-06-06,6656820.480000001,12.916083897630923,746685.0699999757,1.448776790391695
2013-01-02,4711214.519999999,11.987792702817547,439835.1699999978,1.1191706127974173
2013-08-17,5559021.26,12.689279916363835,539821.1999999891,1.2322209236500181
2013-09-21,1.3255439540000003E7,12.383030290008335,1356443.6799999948,1.2671690837141645
2013-01-29,5506525.66,11.534889731450836,645349.2499999823,1.3518564874942023
2013-03-29,6209911.040000001,11.965054296306004,641851.8799999823,1.236699293261675
2013-11-20,6148448.830000001,12.461211190761382,766345.6099999989,1.553171337253016
2013-10-02,5944460.289999999,12.509859990487854,707700.6899999927,1.4893255426341754
2013-03-26,5505832.399999999,11.958775936629154,607508.0699999778,1.319519440661462
2013-03-12,5937426.3100000005,11.99669101393755,681134.2799999731,1.3762457114453857
2013-11-08,6867970.08,12.996516358310295,801468.0799999884,1.516647989296918
2013-01-03,5092998.12,11.542650073770547,496867.49999998935,1.1260887104998705
2013-07-16,5740937.630000001,12.297283536755163,658068.7999999908,1.4096057372238187
2013-03-30,5878325.530000001,11.650930516493341,549111.6599999857,1.0883476533930827
