origin,destination,count,avgFare,avgTolls,avgTip,avgTipPct,totalFare,totalTips,totalTolls
106,105,5083063,8.181663603225063,0.004476098368247652,0.894831999918163,8.281706979171512,4.994510224999953E7,4548487.430000017,22752.290000000015
105,105,13106458,7.445622400804243,0.00643778357203755,0.7264912808632185,7.063081456927553,1.1719548007000344E8,9521727.459999977,84376.54000000012
401,402,83788,9.045045113858786,0.009606984293693607,0.6254830047262138,4.994004538373284,878144.26,52407.97,804.9499999999999
104,480,194667,34.23971803130474,4.349411199638316,5.089446542043593,10.762928576356424,8632270.560000107,990747.29,846686.829999992
105,106,4735351,7.823179521433576,0.001968880448355359,0.8729284397291788,8.286446684112077,4.518674618999958E7,4133622.5600000066,9323.339999999998
102,102,3665926,6.4866512526439415,0.005145564858646904,0.7619275075383354,8.409796495649601,2.9749919169999853E7,2793169.85999998,18863.26000000001
106,108,2976035,8.883815996787671,0.0013383142335355596,0.9606339844793448,8.119473845966631,3.1810188419999875E7,2858880.359999987,3982.869999999999
106,110,71197,18.769587482618654,0.004036546483700156,1.8318781690239756,7.839211619779184,1533484.9800000002,130424.23,287.39
105,164,546076,9.738732264373457,0.0013538591697858904,0.8210725430159899,6.269065946855003,6186293.210000005,448368.00999999966,739.31
108,112,101841,22.81574316827211,0.005276067595565636,2.3155252796025168,8.147953417343363,2643136.8799999994,235815.40999999992,537.3199999999999
105,302,292471,21.494731306693655,0.03280034601721195,2.872713363034285,10.630635769175994,7411269.770000001,840185.3500000003,9593.149999999996
105,101,1901957,16.457367232802845,0.0014484186551010354,1.794223060773718,8.743067105840069,3.619021717999982E7,3412535.1099999985,2754.83
102,105,4155653,10.2492251277958,7.358025321170944E-4,1.0871887691296684,8.3190506696029,5.042980466999955E7,4517979.270000014,3057.74
108,107,2459142,9.491268275683144,7.712852694151048E-4,0.9598482966823363,7.709306168619422,2.8326813869999904E7,2360403.2599999937,1896.6999999999998
108,106,2701674,9.541130565715921,9.91903538324757E-4,0.9903865048114576,7.903746732608912,3.0564560769999903E7,2675701.46999999,2679.7999999999997
103,106,1361704,8.113632742504977,9.952970689665302E-4,0.9863360612879204,9.126066999923422,1.3580779559999993E7,1343097.7600000063,1355.3
104,104,4210453,6.771480268275171,0.008089678236522293,0.7379896747452075,7.760364236387539,3.512263567999975E7,3107270.839999983,34061.21
481,407,441,11.183696145124717,0.04714285714285714,0.6184353741496599,3.5816614275500327,5600.030000000001,272.73,20.79
102,106,1681438,10.07405460088329,0.0010143401065040758,1.199875273426673,9.196875913753772,2.043297249999996E7,2017515.8799999985,1705.5500000000002
105,102,3885376,10.11832838057372,9.168353333113707E-4,1.1190263747961624,8.58996626555762,4.7026722289999634E7,4347838.220000015,3562.25
106,102,1560175,10.350626852756902,0.002256900668194273,1.244104840803115,9.321038793328274,1.9423015739999965E7,1941021.27,3521.16
104,105,5433679,8.123549276650314,0.0010245802153568513,0.8566656366708488,7.821283409824189,5.296498218999944E7,4654846.0800000215,5567.24
480,480,59586,14.469435605679188,0.5577056691169068,1.617465344208371,6.240903279471177,1035321.5299999999,96378.29,33231.450000000004
108,105,5083720,11.223969359052035,9.024356180120067E-4,1.1514641502679213,7.9097946376925465,6.6482437199999444E7,5853721.330000036,4587.729999999999
101,480,140814,39.29695577144317,2.586970755748701,6.367461189938501,12.38409366447412,6892361.500000039,896627.68,364281.69999999757
101,103,726560,10.432070414005725,6.771223298832858E-4,1.1710546272847402,8.444269756632096,9079367.720000003,850841.4500000009,491.9700000000001
107,108,2405378,9.780169457773374,5.791979472665002E-4,0.9897520722314719,7.770923807308836,2.784866014999991E7,2380727.8599999934,1393.1899999999998
105,401,342674,18.602042174194715,0.20950658643492098,2.0209523337049204,8.303329345447834,7468297.610000011,692527.82,71792.46000000011
105,108,4701732,10.57517344884821,0.0012650784859707018,1.1217789784700678,8.049431101644243,5.9023864129999526E7,5274304.120000029,5948.0599999999995
101,483,70613,52.02503575828813,1.5800256326738698,7.095924971322555,10.864778900501756,4321586.270000018,501064.5499999996,111570.34999999996
104,102,2286709,9.321261192394834,8.015318083761423E-4,1.0867428256065772,8.922710488783826,2.5779228269999918E7,2485064.599999991,1832.87
106,302,132703,20.402617876008833,0.043340542414263425,2.677224930860642,10.325299351044993,3189201.4299999992,355275.7799999998,5751.419999999999
401,301,25373,16.908583927797263,0.005994561147676664,1.776316162850274,8.083420846410169,495678.99,45070.47,152.1
102,301,432170,15.837649512923155,0.016377559756577266,2.0485014924682443,10.055524336752587,8154924.409999999,885300.8900000011,7077.889999999998
401,401,397509,6.883527819495911,0.02923875937400159,0.4675473259724933,4.317343376270748,3255689.94,185854.26999999984,11622.669999999998
102,104,2376768,9.222482509862132,6.764774685623501E-4,1.0717772958908858,8.900885489385939,2.6518827949999914E7,2547365.979999989,1607.83
106,104,1463891,10.487281197848747,0.004857472311804635,1.1784938769348274,8.673653633321953,1.8308861459999975E7,1725186.5800000015,7110.809999999999
104,106,1579141,9.963466017284082,0.0017236016289868985,1.116141883467025,8.57862919165121,1.8839050199999966E7,1762545.410000001,2721.81
105,109,220064,19.051439354006106,0.0031379507779555034,1.982334957103387,8.30282131384685,4823388.550000002,436240.55999999976,690.55
412,412,5795,15.176652286453837,0.29074547023295944,1.3920017256255393,5.044509863164994,102068.24,8066.650000000001,1684.87
108,104,1087211,14.227781884105292,0.0015838599866999138,1.5479517223427675,8.526431327288638,1.8037306799999982E7,1682950.1400000025,1721.99
111,110,101636,7.602247136841276,0.016953146522885588,0.4864991735211934,4.6290058630882625,908457.06,49445.83000000001,1723.0499999999997
