origin,destination,count,avgFare,avgTolls,avgTip,avgTipPct,totalFare,totalTips,totalTolls
480,101,159123,40.169659885748764,2.918818838257178,8.032752838998762,15.292242922775245,8261348.730000034,1278195.73,464451.2099999969
483,105,267343,51.14634155373434,4.73368896885267,9.596952790984007,14.254463930639583,1.7640685569999933E7,2565678.1500000376,1265518.6099999794
105,105,5758865,7.783764260839592,0.010377303513800035,1.6505030869798087,16.048092696625673,5.87299455299985E7,9505024.459999977,59761.490000000034
102,104,1404363,9.308472980276466,5.777850883283026E-4,1.810437280104922,15.036616800676692,1.6826526089999963E7,2542511.1299999887,811.4200000000001
104,106,927482,10.079199348343149,0.001749694333690573,1.8961819097297856,14.574970375046206,1.190635386999999E7,1758674.590000001,1622.81
103,402,36162,18.762828936452628,0.9215104253083346,3.638152203971018,14.686177343753512,877505.44,131562.85999999996,33323.659999999996
106,480,217990,28.614056929216936,4.575593651084856,6.3118718289829765,15.495153761400317,8765090.370000064,1375924.939999999,997433.6599999877
108,105,2748184,11.614717941011229,8.553648518439815E-4,2.124613781318877,14.594762729152869,3.964622182999964E7,5838829.600000036,2350.7000000000003
483,483,49283,42.10342958017978,1.9773033297485973,7.71315078221699,14.753770535069187,2578591.970000001,380127.2099999999,97447.44000000012
108,107,1289153,9.629240927958124,8.5065155183287E-4,1.8257319107972396,14.664491926202727,1.5869689219999965E7,2353647.769999994,1096.62
102,105,2293953,10.185424431102117,6.705499197237258E-4,1.9660153194071601,15.044564839096632,2.964863630999979E7,4509946.740000013,1538.2099999999998
106,105,2754927,8.338551173951252,0.005127155819373798,1.6475884769360554,15.24968021973218,2.9533605689999755E7,4538985.980000016,14124.94
101,105,1023928,16.30131672344149,0.0010239489495355142,2.95322622293754,14.511104106307318,2.0460411099999953E7,3023891.0199999893,1048.45
101,104,557502,13.518756147960007,9.754583840057972E-4,2.459507122844411,14.41810117970787,9370177.54,1371180.1400000048,543.8199999999999
108,108,3762612,6.333037025874578,0.006810960045840499,1.334213184883274,15.64600639443271,3.1896109149999645E7,5020126.540000025,25627.000000000015
480,104,170556,34.28885286943878,4.805445015126954,7.1733082389361815,15.016134713079037,8035376.320000062,1223450.7599999993,819597.4799999928
102,301,283037,15.897767712348564,0.017909849242325207,3.123585750272935,15.332494592192997,5664730.970000006,884090.3400000008,5069.15
107,106,394480,14.190642339282093,7.929933076455079E-4,2.5187003396876944,14.185782334372847,6909973.820000002,993576.9100000017,312.81999999999994
107,101,161475,21.392892274345876,0.001672395107601796,3.5785803994426377,13.599685301237823,4148951.1100000017,577851.2699999999,270.05
105,108,2530535,10.847529174660695,0.0012409549759240634,2.07981467555281,14.924297465800688,3.496977926999973E7,5263043.83000003,3140.2799999999997
107,105,1380517,11.479625669223923,6.327194811798769E-4,2.1377323205726446,14.814219582200403,1.9756919679999955E7,2951175.8099999856,873.48
105,102,2188630,10.024840475548633,9.020665896017143E-4,1.9830465039773806,15.222880153359702,2.8220180469999805E7,4340155.070000014,1974.29
104,104,2073454,7.1111159061160745,0.0121759585696138,1.4954989307696156,15.72799170592762,1.9594528749999955E7,3100848.2399999825,25246.29000000001
102,102,1958867,6.704930069269634,0.007057508243285533,1.4233480986713136,15.710532762183044,1.763658710999998E7,2788149.61999998,13824.720000000001
111,108,224501,8.240157014890801,0.032545244787328335,1.5815833782477569,14.721533387829382,2391833.479999999,355067.04999999964,7306.439999999999
109,106,26923,21.56028674367641,0.003452809865171043,3.6418887196820564,13.70961601359599,701139.63,98050.57,92.96
102,106,1060246,10.100340222929395,9.761791131492125E-4,1.8993433976643141,14.558919119273018,1.3660421059999987E7,2013771.2399999984,1034.99
105,106,2523466,7.939956928288313,0.002124768076922772,1.635158306075852,15.522601569682523,2.6355558319999836E7,4126266.390000006,5361.78
106,102,999105,10.40583955640298,0.0022587315647504516,1.938777495858794,14.526068328201166,1.3192101829999985E7,1937042.2900000003,2256.71
106,108,1619170,9.125376205092735,0.0014671838040477528,1.7618999116831384,14.89286478049145,1.9031522989999965E7,2852815.4799999874,2375.62
106,106,1836603,6.695476169863601,0.019333573995033222,1.4037061302850893,15.637615497293611,1.642301160999997E7,2578050.8899999857,35508.1
104,102,1361054,9.43655788822486,7.587355093919859E-4,1.8223012018626679,14.96355161138871,1.6511165879999977E7,2480250.3399999915,1032.68
104,164,97386,10.862873513646724,0.0012881728379849258,2.081699114862505,15.08546287095961,1337104.6000000006,202728.3499999999,125.44999999999999
