origin,destination,count,avgFare,avgTolls,avgTip,avgTipPct,totalFare,totalTips,totalTolls
108,105,2321490,10.761005647235182,9.317334987443408E-4,1.2426932702703865E-4,7.947294891478388E-4,2.6652808509999994E7,288.48999999999995,2163.0099999999998
483,105,282502,50.498969281633414,4.520766897225432,0.0021092594034732496,0.0029997868753863103,1.5689182909999501E7,595.87,1277125.689999979
105,106,2198750,7.686272582148948,0.001673569073337123,8.843206367254121E-5,8.299096281805448E-4,1.870351488E7,194.43999999999997,3679.7599999999993
108,108,5058095,5.8962867186163965,0.0015333539603348692,2.2425834232057715E-4,7.305547142714158E-4,3.379416487E7,1134.3199999999997,7755.85
102,105,1851588,10.327355059548886,7.265277156689286E-4,1.0394861059803801E-4,7.907879605820999E-4,2.0659611419999998E7,192.47,1345.23
102,102,1680410,6.230455299599503,0.0025718187823209806,9.889253217964664E-5,7.711660661081551E-4,1.19092201E7,166.18,4321.709999999999
105,104,2526284,7.972724701577495,0.001421886850409534,1.3927966926917165E-4,9.727320789365372E-4,2.217804593E7,351.86,3592.0899999999992
104,106,647192,9.793092235379916,0.0015674792024623295,1.8292871358113202E-4,0.0011436934065254985,6877609.4399999995,118.39,1014.46
480,402,33359,18.26951347462454,0.2835621571390029,0.0019499985011541111,0.0054091255257933644,647081.3999999999,65.05,9459.349999999999
103,102,647980,7.404786027346523,7.705639062934041E-4,1.0651563319855551E-4,9.516662267822845E-4,5365182.82,69.02,499.31
104,105,2659826,7.814197409905761,9.693754403483536E-4,1.234667230112045E-4,7.643912477310433E-4,2.286825275E7,328.40000000000003,2578.37
104,107,719038,9.220396432455585,7.059988484614166E-4,1.278652866746959E-4,9.663035974793351E-4,7255023.930000001,91.94,507.64000000000004
107,107,2488542,5.841145835593692,0.0016502996533713313,9.984963082801095E-5,6.529141221967578E-4,1.6581769149999997E7,248.48000000000002,4106.839999999999
103,105,649350,11.12231278971279,0.0011143297143297141,1.226765226765227E-4,8.102256648450549E-4,7775084.67,79.66000000000001,723.5899999999999
105,107,1130808,10.58692526052168,0.0011103034290525003,1.091255102546144E-4,8.396446929369595E-4,1.295808758E7,123.39999999999999,1255.5399999999997
102,106,616849,10.026629515489205,0.001027658308597404,2.553136991386871E-4,0.0011728928865669648,6719910.65,157.49,633.9100000000001
105,105,7281514,7.178597478491424,0.003170633195239343,1.274254227898209E-4,8.231157843533716E-4,5.790756192999999E7,927.8499999999999,23087.01000000001
112,107,10933,16.556663312905883,9.036860879904874E-4,1.8293240647580719E-4,0.001143327540473795,189700.63,2.0,9.879999999999999
101,105,710612,16.25121585337709,0.001489870702999668,2.6212616730367634E-4,0.0011920511857144193,1.2088417600000001E7,186.27000000000004,1058.72
103,108,188777,14.617340089099839,0.0017695481970790936,3.463875366172786E-4,0.0019183966576177631,2927315.2199999997,65.39,334.05000000000007
107,108,1120021,9.618080509204738,5.938638650525304E-4,1.3397963073906653E-4,0.0010495954692481197,1.1672257379999999E7,150.06000000000003,665.1400000000001
105,102,1687099,10.239891375669123,7.988209346339486E-4,1.307510703284158E-4,9.747223952939008E-4,1.8693215380000003E7,220.58999999999997,1347.69
105,108,2158960,10.255428845369993,0.0012017684440656612,1.313734390632527E-4,9.696599508322128E-4,2.3901606919999998E7,283.63000000000005,2594.5699999999997
103,103,744942,5.963748385780368,0.0027744307610525383,3.2555554660631305E-4,0.0010473478761301397,5116453.32,242.52000000000004,2066.79
107,109,300264,8.57472577465164,4.2519249726906985E-4,8.142834305810886E-5,6.277825185677049E-4,2819331.2300000004,24.45,127.66999999999999
102,104,965837,9.096610649623074,7.107928149366816E-4,1.435335361971016E-4,0.0011465666497168158,9620326.360000001,138.63000000000002,686.5099999999998
483,404,14820,34.087246963562755,0.039871794871794874,6.41025641025641E-4,0.001349527665317139,517769.02,9.5,590.9000000000001
106,302,41810,20.067149007414493,0.026904807462329584,5.130351590528581E-4,0.002137164283895657,876998.84,21.45,1124.8899999999999
107,104,649103,9.549221001905707,9.580451792704701E-4,9.573211031223088E-5,7.840765125533612E-4,6721586.38,62.14,621.87
103,104,300218,12.250461331432492,0.0011272475334590196,2.02652739009653E-4,0.0012865751915923016,3944012.5,60.84,338.41999999999996
108,112,41665,22.644298571942876,0.005266770670826833,2.0400816032641305E-4,8.00032001280051E-4,978157.64,8.5,219.44
104,102,919246,9.150214904389033,7.831092003663874E-4,1.7463225295513932E-4,8.348528339480638E-4,9197726.77,160.53,719.8700000000001
104,483,47950,51.786176433785194,4.048054848800812,0.004018978102189781,0.00631094080765903,2701528.100000023,192.71,194104.22999999896
108,164,340395,7.735499669501609,6.582059078423596E-4,6.160490018948574E-5,6.160393929956471E-4,2898935.2500000005,20.97,224.04999999999998
101,102,627221,8.536628142233758,9.592312757385354E-4,1.5614910852793513E-4,0.0012467634366992734,5858561.699999999,97.94,601.6499999999999
108,107,1162913,9.337731730576577,6.196078296484774E-4,1.1174524663495892E-4,9.591297106450272E-4,1.2376432780000003E7,129.95,720.5499999999998
106,108,1349236,8.592682414344118,0.0011360725625465078,1.0380689516140988E-4,5.587249019217647E-4,1.269667133E7,140.06000000000003,1532.83
103,111,34924,19.373725804604284,0.05474916962547246,0.0036175695796586875,0.004392000261698938,710728.83,126.34,1912.0600000000002
101,104,323168,13.964543364442024,0.0020210850084166746,6.258354787602733E-4,0.0012224755866307084,4771981.74,202.25,653.1499999999999
102,107,209948,17.05760331129613,8.728351782346104E-4,2.0266923238135157E-4,9.248321806669589E-4,3774559.1,42.55,183.25
